Runtime,Goodmovie
100,0
134,0
132,0
105,0
140,0
110,0
138,0
169,1
121,0
117,0
157,0
101,0
119,0
119,0
120,0
172,0
104,0
89,0
92,0
153,1
123,0
109,0
146,0
158,0
92,0
80,0
192,0
111,0
91,0
85,0
95,0
71,0
147,0
120,0
135,0
159,0
140,0
118,0
321,0
188,0
108,0
146,0
131,0
180,0
132,0
128,0
82,0
154,0
148,0
162,0
189,1
91,0
104,0
120,0
87,0
97,0
113,0
64,0
160,1
124,0
113,0
86,0
153,1
132,0
129,0
179,1
136,1
112,0
117,0
127,0
76,0
94,0
94,0
130,0
119,0
117,0
123,0
143,0
103,0
98,0
137,0
108,0
114,0
79,0
107,0
100,0
163,0
127,0
144,0
99,0
121,0
132,0
112,0
117,0
115,0
76,0
100,0
119,0
188,0
105,0
138,0
159,0
144,0
129,0
107,0
95,0
122,0
115,0
111,0
120,0
136,1
121,0
143,0
107,0
139,1
178,1
130,0
144,0
128,0
122,0
123,0
122,0
104,0
110,0
92,0
102,0
184,1
130,0
107,0
98,0
90,0
151,0
172,0
157,0
143,0
108,0
124,0
132,0
94,0
121,0
209,1
105,0
121,0
101,0
102,0
152,0
110,0
103,0
101,0
101,0
101,0
130,0
110,0
146,0
157,0
100,0
104,0
99,0
103,0
98,0
95,0
189,1
119,0
130,0
178,1
180,0
107,0
91,0
117,0
80,0
99,0
92,0
116,0
126,0
128,0
89,0
178,1
94,0
87,0
129,0
88,0
116,0
204,1
96,0
130,0
109,0
101,0
167,1
117,0
120,0
109,0
133,0
137,0
90,0
130,0
133,0
99,0
157,0
110,0
201,0
148,0
130,0
120,0
154,0
120,0
85,0
88,0
111,0
110,0
87,0
135,0
94,0
105,0
119,0
146,0
142,0
99,0
94,0
127,0
119,0
100,0
153,1
94,0
106,0
124,0
113,0
114,0
105,0
138,0
128,0
113,0
90,0
106,0
127,0
140,0
119,0
102,0
98,1
149,1
131,0
96,0
104,0
160,1
91,0
145,0
156,1
111,0
112,0
90,0
154,0
132,0
110,0
133,0
103,0
114,0
120,0
134,0
129,0
118,0
131,0
122,0
98,0
165,1
147,0
124,0
97,0
133,0
102,0
109,0
92,0
101,0
119,0
87,0
75,0
98,1
112,0
113,0
98,0
122,0
126,0
94,0
212,1
144,0
105,0
139,1
123,0
101,0
68,0
112,0
110,0
95,0
155,1
95,0
153,1
129,0
90,0
147,0
122,0
133,0
122,0
128,0
124,0
118,0
87,0
229,1
134,0
142,0
145,0
144,0
170,1
106,0
90,0
112,0
137,0
96,0
129,0
205,1
161,0
96,0
81,0
129,0
126,0
124,0
113,0
110,0
136,1
126,0
116,0
102,0
113,0
186,0
89,1
110,0
96,0
89,0
123,0
97,0
131,0
113,0
114,0
87,0
106,0
146,0
135,0
86,0
152,0
100,0
107,0
123,0
93,0
238,0
107,0
114,0
112,0
120,0
101,0
128,0
82,0
100,0
102,0
170,1
91,0
106,0
99,0
126,0
136,1
108,0
95,0
109,0
137,0
96,0
169,1
108,0
133,0
81,0
93,0
122,0
125,1
191,1
100,0
183,1
137,0
100,0
149,1
115,0
120,0
83,0
105,0
102,0
93,0
88,0
88,0
137,0
117,0
84,0
115,0
202,1
108,0
178,1
93,0
156,1
